"name","mz","rt","Annotation.type","annotated.from.ID","annotated.from.peak","ID","compound.name","isotope","adduct","Formula","score","peak.group","confidence"
"M244T447_NEG",244.06571,446.7365,"isotopeAnnotation","C02067","M243T447_NEG","C02067","Pseudouridine","[M+1]","M-H","C9H12N2O6","0.866408609","C02067_1","grade1"
"M552T290_NEG",552.23948,289.542,"adductAnnotation","C02074","M528T289_NEG","C02074","Raucaffricine","[M]","M-H+CH3CN","C27H32N2O8","0.699076565","C02074_1","grade2"
"M528T289_NEG",528.23079,288.799,"adductAnnotation","C02074","M552T290_NEG","C02074","Raucaffricine","[M]","M-H+NH3","C27H32N2O8","0.732282261","C02074_1","grade2"
"M529T289_NEG",529.23215,289.416,"isotopeAnnotation","C02074","M528T289_NEG","C02074","Raucaffricine","[M+1]","M-H+NH3","C27H32N2O8","0.709651263","C02074_1","grade2"
"M226T559_NEG",226.08329,558.586,"metAnnotation","C05382","M144T640_NEG","C02076","Sedoheptulose","[M]","M-H+NH3","C7H14O7","0.51735205","C02076_1","grade4"
"M132T671_2_NEG",132.0414,671.146,"adductAnnotation","C02091","M154T671_NEG","C02091","(S)-Ureidoglycine","[M]","M-H","C3H7N3O3","0.955638633","C02091_1","grade2"
"M133T671_NEG",133.04445,671.2825,"isotopeAnnotation","C02091","M132T671_2_NEG","C02091","(S)-Ureidoglycine","[M+1]","M-H","C3H7N3O3","0.903340511","C02091_1","grade2"
"M154T671_NEG",154.02343,671.267,"adductAnnotation","C02091","M132T671_2_NEG","C02091","(S)-Ureidoglycine","[M]","M-2H+Na","C3H7N3O3","0.951271883","C02091_1","grade2"
"M212T401_NEG",212.04037,401.139,"isotopeAnnotation;isotopeAnnotation;isotopeAnnotation","C02123;C07718;C07725","M211T401_NEG;M211T401_NEG;M211T401_NEG","C02123;C07718;C07725","3-Propylmalate;2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid;2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid","[M+1];[M+1];[M+1]","M+Cl;M-H-H2O;M-H-H2O","C7H12O5;C13H10O4;C13H10O4","0.945949951651225;0.872628348232158;0.872628348232158","C07718_3;C07725_3;C02123_2","grade2;grade2;grade2"
"M189T428_NEG",189.03635,427.719,"metAnnotation;metAnnotation;metAnnotation;metAnnotation","C01275;C00430;C16850;C00684","M236T555_NEG;M190T563_NEG;M190T563_NEG;M147T639_NEG","C02132;C02800;C00944;C00433","Acetylpyruvate;4,5-Dioxopentanoate;3-Dehydroquinate;2,5-Dioxopentanoate","[M];[M];[M];[M]","M+CH3COO;M+CH3COO;M-H;M+CH3COO","C5H6O4;C5H6O4;C7H10O6;C5H6O4","0.819348216760757;0.783317808043206;0.780225915724699;0.686404156701531","C02132_1;C00433_1;C02800_1;C00944_1","grade3;grade3;grade3;grade3"
